WBGene00005245,srh-20
WBGene00005246,srh-21
WBGene00006238,str-205
WBGene00006244,str-211
WBGene00006242,str-209
WBGene00006240,str-207
WBGene00015736,srsx-11
WBGene00015737,srsx-12
WBGene00015738,srsx-13
WBGene00005659,srr-8
WBGene00005657,srr-6
WBGene00005655,srr-4
WBGene00015069,srt-67
WBGene00005924,srx-33
WBGene00005925,srx-34
WBGene00005927,srx-36
WBGene00017330,sre-10
WBGene00006163,str-112
WBGene00006237,str-204
WBGene00005304,srh-83
WBGene00005617,srj-32
WBGene00005897,srx-6
WBGene00005983,srx-92
WBGene00005402,srh-187
WBGene00005450,srh-244
WBGene00005439,srh-231
WBGene00005480,srh-275
WBGene00235116,C03G6.21
WBGene00005602,srj-14
WBGene00005947,srx-56
WBGene00015401,srsx-24
WBGene00005900,srx-9
WBGene00005951,srx-60
WBGene00005601,srj-13
WBGene00020055,srt-6
WBGene00006106,str-41
WBGene00005814,srw-67
WBGene00017564,srxa-4
WBGene00017566,F18E3.10
WBGene00005815,srw-68
WBGene00005816,srw-69
WBGene00005818,srw-71
WBGene00005313,srh-92
WBGene00005310,srh-89
WBGene00006094,str-28
WBGene00005342,srh-125
WBGene00006231,str-190
WBGene00015962,srbc-8
WBGene00015961,srbc-7
WBGene00015960,srbc-9
WBGene00015959,srbc-10
WBGene00015958,srbc-11
WBGene00005300,srh-79
WBGene00005437,srh-229
WBGene00006097,str-31
WBGene00016925,srb-18
WBGene00016928,srb-19
WBGene00005474,srh-268
WBGene00005108,srd-30
WBGene00005103,srd-25
WBGene00005109,srd-31
WBGene00005107,srd-29
WBGene00006112,str-47
WBGene00005441,srh-234
WBGene00005411,srh-200
WBGene00006006,srx-115
WBGene00006143,str-84
WBGene00006145,str-86
WBGene00006144,str-85
WBGene00006146,str-87
WBGene00005249,srh-25
WBGene00005652,srr-1
WBGene00007908,C34B4.3
WBGene00005987,srx-96
WBGene00006210,str-165
WBGene00006020,srx-129
WBGene00006019,srx-128
WBGene00005908,srx-17
WBGene00006021,srx-130
WBGene00006022,srx-131
WBGene00006024,srx-133
WBGene00006025,srx-134
WBGene00006027,srx-136
WBGene00006026,srx-135
WBGene00006028,srx-137
WBGene00011931,srsx-19
WBGene00007360,C06B3.1
WBGene00006278,str-252
WBGene00006277,str-250
WBGene00005933,srx-42
WBGene00044114,srxa-11
WBGene00044115,srxa-12
WBGene00044116,srxa-13
WBGene00011197,srw-145
WBGene00005901,srx-10
WBGene00011192,srh-24
WBGene00010979,R02D5.6
WBGene00005204,srg-47
WBGene00008268,srt-32
WBGene00001519,gar-3
WBGene00023506,srz-11
WBGene00005748,srw-1
WBGene00005536,sri-24
WBGene00005538,sri-26
WBGene00005537,sri-25
WBGene00005771,srw-24
WBGene00005761,srw-14
WBGene00005762,srw-15
WBGene00005760,srw-13
WBGene00005759,srw-12
WBGene00005758,srw-11
WBGene00005106,srd-28
WBGene00010798,srbc-76
WBGene00010797,srbc-75
WBGene00010802,srsx-39
WBGene00010800,srsx-37
WBGene00005769,srw-22
WBGene00005763,srw-16
WBGene00005764,srw-17
WBGene00005766,srw-19
WBGene00005942,srx-51
WBGene00006153,str-96
WBGene00005939,srx-48
WBGene00077588,T26H8.5
WBGene00012072,T26H8.4
WBGene00014195,srz-10
WBGene00014191,srt-22
WBGene00005499,srh-295
WBGene00005860,srw-113
WBGene00005949,srx-58
WBGene00005275,srh-52
WBGene00005340,srh-122
WBGene00005457,srh-251
WBGene00006147,str-88
WBGene00006157,str-102
WBGene00005386,srh-170
WBGene00005931,fbxa-199
WBGene00005519,sri-7
WBGene00005464,srh-258
WBGene00005463,srh-257
WBGene00011541,srbc-63
WBGene00005470,srh-264
WBGene00005471,srh-265
WBGene00005446,srh-239
WBGene00005780,srw-33
WBGene00006133,str-71
WBGene00005768,srw-21
WBGene00007370,str-264
WBGene00005428,srh-218
WBGene00005429,srh-219
WBGene00005481,srh-276
WBGene00006080,str-12
WBGene00006289,str-263
WBGene00008321,C55A1.1
WBGene00006275,str-248
WBGene00008327,srz-44
WBGene00006090,str-23
WBGene00005705,sru-42
WBGene00005920,srx-29
WBGene00012397,Y6E2A.1
WBGene00006156,str-101
WBGene00005357,srh-140
WBGene00006103,str-38
WBGene00006093,str-27
WBGene00006085,str-18
WBGene00006086,str-19
WBGene00011943,T23D5.8
WBGene00006074,str-6
WBGene00006108,str-43
WBGene00006073,str-5
WBGene00006076,str-8
WBGene00006077,str-9
WBGene00005105,srd-27
WBGene00012054,srsx-38
WBGene00012055,srsx-36
WBGene00010020,srbc-48
WBGene00010021,srbc-49
WBGene00010022,srbc-50
WBGene00010023,srbc-51
WBGene00044105,srbc-55
WBGene00010026,srbc-56
WBGene00010025,srbc-54
WBGene00005365,srh-149
WBGene00005363,srh-147
WBGene00005364,srh-148
WBGene00010688,srz-12
WBGene00005503,srh-299
WBGene00005497,srh-293
WBGene00006122,str-57
WBGene00006121,str-56
WBGene00011518,T06C12.11
WBGene00006124,str-60
WBGene00011506,srbc-77
WBGene00005773,srw-26
WBGene00005802,srw-55
WBGene00005800,srw-53
